"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"LE VAISSELIER EN FÊTE INC.",893,"Rue King Ouest","J1H 1R9","819 822-4333","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"LE VAPE BAR",5112,"Boulevard Bourque","J1N 2K7","819 943-1146","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LE VIEUX CLUB DE GOLF LENNOXVILLE",19,"Rue du Golf","J1M 2E6","819 562-4922","Terrains De Golf Et Country Club"
"LEAD FOX",10,"Rue Bowen Sud","J1G 2C5","819 200-1103","Editeurs De Logiciels"
"LEBEAU VITRES D'AUTOS (RUE KING E)",1085,"Rue King Est","J1G 1E5","819 569-9543","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"LEBEAU VITRES D'AUTOS (RUE KING O)",2580,"Rue King Ouest","J1H 2H1","819 822-2626","Ateliers De Remplacement De Glaces Et De Pares-Brise"
"LEBLANC ET VIENS NOTAIRES",100,"Rue Belvédère Sud","J1H 4B5","819 566-8623","Etudes De Notaires"
"LEBRUN AUTO ÉLECTRIQUE",902,"Rue King Est","J1G 1E2","819 569-4707","Reparations Generales De Vehicules Automobiles"
"LECLERC AUTO ESTHÉTIQUE",1300,"Rue Galt Est","J1G 5C1","819 791-3337","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"LECLERC AUTOMOBILES INTERNATIONAL INC.",4770,"Boulevard Industriel","J1L 3A3","819 822-1112","Marchands D'Automobiles D'Occasion"
"LEE PRO-ONGLES",2626,"Rue King Ouest","J1H 2H1","819 346-4564","Salons De Beaute"
"LEEDE JONES GABLE",297,"Rue Dufferin","J1H 4M5","819 569-2772","Services De Conseil En Placement"
"LEHOUILLIER GAZ BAR INC.",3326,"Rue King Est","J1G 5J3","819 569-8037","Stations-Service Avec Depanneur"
"LEIKA",1179,"12e Avenue Nord","J1E 2X4","1-877 569-1991","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LEMAY’EUR ESTHÉTIQUE",3015,"Rue Gastin","J1H 0E5","819 346-8791","Lave-Autos"
"LEMIEUX BÉDARD COMMUNICATIONS",2665,"Rue King Ouest","J1L 2G5","819 823-0850","Agences De Publicite"
"LENNOX FURNITURE (BOULEVARD INDUSTRIEL)",3870,"Boulevard Industriel","J1L 2V1","1 877 312-1724","Entreposage General"
"LENNOX FURNITURE (RUE LESAGE)",4050,"Rue Lesage","J1L 0B6","1 877-312-1724","Entreposage General"
"LENNOXVILLE & DISTRICT WOMEN’S CENTER",175,"Rue Queen","J1M 1K1","819 564-6626","Organisations Civiques Et Amicales"
"LEPROHON INC.",6171,"Boulevard Bourque","J1N 1H2","819 563-2454","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"LES 3 FÉES",139,"Rue Queen","J1M 1J7","819 933-4949","Magasins De Cadeaux, D'Articles De Fantaisie Et De Souvenirs"
"LES ALIMENTS JARDI INC.",4650,"Boulevard de Portland","J1L 0H6","819 820-1003","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"LES ALIMENTS JARDI INC. (RUE DE LA GARLOCK)",4275,"Rue de la Garlock","J1L 2C8","819 820-1003","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"LES ALIMENTS M & M",2760,"Rue King Ouest","J1J 2H1","819 347-1333","Tous Les Autres Magasins D'Alimentation Specialisee"
"LES ALPAGAS DE L'ADRET",2410,"Chemin Hamel","J1R 0P8","819 346-3618","Activites De Soutien Aux Cultures Agricoles"
"LES AMIS DE LA BELLE CHAPELLE",500,"Rue Murray","J1G 2K6","819 826-5605","Organismes Religieux"
"LES APPARTEMENTS RABY",1000,"Rue Aubry","J1G 5B6","819 571-2423","Bailleurs D'Immeubles Residentiels Et De Logements (Sauf Les Ensembles De Logements Sociaux)"
"LES ARTISANS DU ROY",14,"Rue Wellington Nord","J1H 5B7",NA,"Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LES ASPIRATEURS DANY BELLAVANCE INC.",1089,"Rue du Conseil","J1G 1M3","819 563-3374","Reparation Et Entretien  D'Appareils Menagers"
"LES ASPIRATEURS LAPOINTE",6632,"Chemin de Saint-Élie","J1R 0P6","819 791-5445","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"LES ASSURANCES DENIS R. BOISVERT INC.",2230,"Rue King Ouest","J1J 2E8","819 346-7060","Agences Et Courtiers D'Assurance"
"LES ATELIERS DUFFERIN",276,"Rue Dufferin","J1H 4M4","819 212-2197","Artistes Independants, Art Visuels"
"LES ATELIERS MON CHEF",6943,"Boulevard Bourque","J1N 3K4",NA,"Entrepreneurs En Restauration"
"LES ATELIERS SANKOFA (CHEMIN DE SAINTE-CATHERINE)",5971,"Chemin de Sainte-Catherine","J1N 0E7",NA,"Ecole Des Beaux-Arts"
"LES ATELIERS SANKOFA (RUE WELLINGTON N)",54,"Rue Wellington Nord","J1H 5B7","819 571-6572","Tous Les Autres Etablissements De Formation Et D'Education"
"LES AUDACIEUSES SALON DE BEAUTÉ",46,"Rue Radisson","J1L 1E3","819 571-8068","Salons De Beaute"
"LES AUTOMOBILES L.N. INC.",5676,"Chemin de Sainte-Catherine","J1N 0E7","819 864-4370","Marchands D'Automobiles D'Occasion"
"LES AUTOMOBILES LACO 2006 INC.",5954,"Boulevard Bourque","J1N 1H3","819 864-6994","Marchands D'Automobiles D'Occasion"
"LES BARBIERS KING",2259,"Rue King Ouest","J1J 2G2","819 569-6562","Salons De Coiffure Pour Homme"
"LES BOIS 501",250,"Rue Laval","J1C 0R1","450 775-9878","Entrepreneurs En Petite Menuiserie"
"LES BOIS SAXBY INC.",8751,"Boulevard Bourque","J1N 0G2","819 864-1661","Toutes Les Autres Activites Diverses De Fabrication"
"LES CAMIONS INTER ESTRIE (1991) INC.",250,"Rue Léger","J1L 1M1","819 564-6677","Grossistes-Distributeurs De Camions, De Tracteurs Routiers Et D'Autobus"
"LES CASSEROLES DU CAFÉ",5180,"Boulevard Bourque","J1N 1H9","819 842-4528","Traiteurs"
"LES CHAUSSURES POMPÉI LTÉE",901,"Rue Galt Est","J1G 1Y6","819 563-3557","Magasins De Chaussures"
"LES CHEVALIERS DE COLOMB - CONSEIL 530",2615,"Rue Hertel","J1J 2J4","819 562-1322","Organisme D'Action Sociale"
"LES CHEVALIERS DE COLOMB (RUE SAINT-JOSEPH)",95,"Rue Saint-Joseph","J1C 0P6","819 846-6849","Organisme D'Action Sociale"
"LES CISEAUX SCULPTEURS",856,"Rue King Ouest","J1H 1S1","819 791-2007","Salons De Coiffure Mixtes"
"LES COFFRAGES CARMEL INC.",10281,"Rue du Panorama","J1N 0G8","819 843-2319","Entrepreneurs En Travaux De Fondations Et De Structure En Beton Coule"
"LES CONSTRUCTIONS MARCEL H. LEROUX",7136,"Chemin de Saint-Élie","J1R 0K5","819 564-2422","Conception De Systemes Informatiques Et Services Connexes"
"LES CONSTRUCTIONS PATRICK SÉVIGNY",4355,"Boulevard Industriel","J1L 3C2","819 564-5151","Construction Residentielle"
"LES CONSTRUCTIONS TÈRATÈR",268,"Chemin Godin","J1R 0S6","819 791-5757","Construction Residentielle"
"LES CONSTRUCTIONS YVES LESSARD INC.",19,"Rue Vaudry","J1M 1A8","819 346-8581","Construction Residentielle"
"LES CONSULTANTS EN GÉOMATIQUE RCP INC.",3170,"Rue Delorme","J1K 2Y1",NA,"Services D'Arpentage Et De Cartographie, Sauf Les Leves Geophysiques"
"LES DÉLICES D’ELLIOT",4696,"Boulevard Bourque","J1N 2A8","819 437-8787","Confiseries Et Magasins De Noix"
"LES DÉLICES DE PA PIS MA",6025,"Chemin de Saint-Élie","J1R 0L6","819 791-5500","Traiteurs"
"LES DÉLICES DES NATIONS",185,"Rue Belvédère Nord","J1H 4A7","819 481-1443","Boulangeries-Patisseries"
"LES DÉMARREURS ET ALTERNATEURS DE L’ESTRIE INC.",900,"Rue Wellington Sud","J1H 5E4","819 823-1003","Reparations Generales De Vehicules Automobiles"
"LES ÉCURIES NAN-MAR",1280,"Chemin Rhéaume","J1N 0G9",NA,"Non classés"
"LES EMBALLAGES POLY-PRO INC.",140,"Rue Léger","J1L 1L9","819 564-4456","Grossistes-Distributeurs D'Autres Papiers Et De Produits En Plastique Jetables"
"LES ÉMETTEURS DÉCADE INC",3480,"Rue du Renard","J1H 0C7","819 563-4323","Telecommunications Sans Fil (Sauf Par Satellite)"
"LES ENCADREMENTS TURGEON",3535,"Boulevard Industriel","J1L 1X7","819 820-7344","Magasins De Materiel D'Encadrement"
"LES ENCHÈRES A/B",333,"Route de Windsor","J1C 0E5","819 572-1279","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LES ENCHÈRES RENÉ HOUDE INC.",7655,"Rue Saint-Francois Nord","J1C 0V4","819 846-6267","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LES ENDUITS STEF",839,"Rue Joseph-Louis-Mathieu","J1R 0X3","819 820-1188","Toutes Les Autres Activites Diverses De Fabrication"
"LES ENSEIGNES MULTI VISUEL",2395,"Chemin Légaré","J1H 0C5","819 562-0363","Fabrication D'Enseignes"
"LES ENSEIGNES MULTI VISUEL DIVISON ÉLECTRIQUE",999,"Rue Woodward","J1G 1W8","819 562-0363","Fabrication D'Enseignes"
"LES ENTREPÔTS DE L'ESTRIE (CH. DION)",80,"Chemin Dion","J1R 0R8","819 564-0030","Entreposage General"
"LES ENTREPRISES BRETON",175,"Rue Joseph-Robertson","J1L 2W7","819 822-3646","Autres Services De Reparation Et D'Entretien Mecaniques Et Electriques De Vehicules Automobiles"
"LES ENTREPRISES CLAUDE MONTMINY",3605,"Rue College","J1M 0B8","819 564-2029","Tous Les Autres Entrepreneurs Specialises"
"LES ENTREPRISES DAUPHINAIS",6163,"Boulevard Bourque","J1N 1H2","819 864-7878","Toutes Les Autres Activites Diverses De Fabrication"
"LES ENTREPRISES GHYSLAIN FORTIER",920,"Rue des Tourterelles","J1R 0M5","819 620-5174","Services D'Amenagement Paysager"
"LES ENTREPRISES GIVESCO INC.",430,"Rue Léger","J1L 1Y5","819 347-1020","Grossistes-Distributeurs De Machines, Materiel Et Fournitures D'Usage Professionnel"
"LES ENTREPRISES JEAN BAILLARGEON INC.",845,"Rue Longpré","J1G 5B8","819 346-5091","Entreposage General"
"LES ENTREPRISES LALIBERTÉ (DIVISION PLOMBERIE)",185,"Chemin Godin","J1R 0S6","819 565-0080","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"LES ENTREPRISES LOGIPAC INC.",1440,"Rue King Ouest","J1C 2C2","819 348-2666","Grossistes-Distributeurs De Machines Et De Materiel De Bureau Et De Magasin"
"LES ENTREPRISES MB PLUS INC.",3700,"Rue College","J1M 0B8","819 791-2210","Entrepreneurs En Preparation De Terrains"
"LES ENTREPRISES MECA FUZION",307,"Chemin Godin","J1R 0S6","819 791-3800","Toutes Les Autres Activites Diverses De Fabrication"
"LES ENTREPRISES ROGER BOISVERT INC.",313,"Rue des Aulnes","J1G 4S1","819 563-5404","Services De Systemes De Securite, Sauf Les Serruriers"
"LES ENTREPRISES SLE INC.",1837,"Chemin Édouard Roy","J1N 0G4","819 612-0738","Entrepreneur En Travaux D'Electricite"
"LES ENTREPRISES VIMAX INC.",1350,"Rue Octave-Gagné","J1G 5K6","819 822-4210","Atelier D'Usinage"
"LES ENTREPRISES YVON BLAIS ET FILS INC.",888,"Rue Galt Est","J1G 1Y5","819 569-3001","Entrepreneurs En Travaux De Vitrage Et De Vitrerie"
"LES ENTRETIENS FLEURIMONT",2500,"Chemin Alfred-Champigny","J1H 5H2","819 571-9139","Demenagements De Biens Usagers De Maison Et De Bureau"
"LES ENTRETIENS SQUIDLY",310,"Rue Ludger-Provencher","J1N 3M4","819 822-2869","Services De Conciergerie (Sauf Le Nettoyage De Vitres)"
"LES ENTRETIENS SQUIDLY INC.",2155,"Rue Saint-Francois Nord","J1H 0C9","819 822-2869","Reparation Et Entretien De Machines Et De Materiel  D'Usage Commercial Et Industriel"
"LES ÉQUIPEMENTS MARQUIS INC.",1155,"Chemin Saint-Roch Nord","J1N 0H2","819 822-3382","Grossistes-Distributeurs De Machines, Materiel Et Fournitures Industriels"
"LES ÉQUIPEMENTS R.M. NADEAU",534,"Rue du Parc-Industriel","J1C 0J2","819 846-6828","Grossistes-Distributeurs De Camions, De Tracteurs Routiers Et D'Autobus"
"LES ESCALIERS GICA INC.",1080,"Rue Hamelin","J1G 3B5","819 620-4422","Entrepreneurs En Petite Menuiserie"
"LES ESTIMATIONS DIONNE",1424,"Rue Dunant","J1H 3Z9","819 564-3030","Bureaux D'Evaluateurs De Biens Immobiliers"
"LES FILLES DE LA CHARITÉ DU SACRÉ-CŒUR DE JÉSUS (RUE ALLEN)",575,"Rue Allen","J1G 1Z1","819 569-9617","Organismes Religieux"
"LES FILLES DE LA CHARITÉ DU SACRÉ-CŒUR DE JÉSUS (RUE ÉMERY-FONTAINE)",6600,"Rue Émery-Fontaine","J1N 2T3","819 569-9617","Organismes Religieux"
"LES FLÈCHIVORES DE SHERBROOKE",940,"Rue de la Sainte-Famille","J1E 1V1","819 812-3790","Organisations Civiques Et Amicales"
"LES FRÈRES DU SACRÉ-COEUR",129,"Rue du Frère-Théode","J1C 0S3","819 846-2739","Organismes Religieux"
"LES FRUITS ET LÉGUMES DE L'ESTRIE INC.",180,"Rue Joseph-Robertson","J1L 2X3","819 823-8817","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"LES GALERIES 4 SAISONS (ADM)",930,"13e Avenue Nord","J1E 3E5","819 563-0373","Services Administratifs De Bureau"
"LES GARS DU LAC",6943,"Boulevard Bourque","J1N 3K4",NA,"Entrepreneurs En Restauration"
"LES GRANITES MC",1050,"Rue Galt Est","J1G 1Y5","819 829-5132, 1 877-829-9560","Marchands D'Autres Materiaux De Construction"
"LES GRENAILLES",6943,"Boulevard Bourque","J1N 3K4","819 588-1758","Tous Les Autres Magasins D'Alimentation Specialisee"
"LES GRUES GR",668,"Chemin Dion","J1R 0R8","819 823-8815","Tous Les Autres Entrepreneurs Specialises"
"LES HABITATIONS L'ÉQUERRE INC.",2475,"Rue Beaudry","J1J 1K9","819 346-0889","Bailleurs D'Immeubles Residentiels Et De Logements (Sauf Les Ensembles De Logements Sociaux)"
"LES HERBES PURES J.B. LTÉE",351,"10e Avenue Sud","J1G 2R8","819 822-2522, 1 800 567-3515","Grossistes-Distributeurs D'Autres Produits Alimentaires Speciaux"
"LES IMMEUBLES DIANE RICARD ENR.",1460,"Rue Desnoyers","J1K 2G3","819 564-1492","Bureaux D'Agents Et De Courtiers Immobiliers"
"LES IMMEUBLES ROCENDEL (1997) INC",2030,"Rue Prospect","J1J 1K7","819 566-6646","Gestionnaires De Biens Immobiliers"
"LES INDUSTRIES D'ENTRETIEN A.M. INC.",1337,"Rue LaRocque","J1H 4S1","819 346-1200","Services De Conciergerie (Sauf Le Nettoyage De Vitres)"
"LES INSTALLATIONS ÉLECTRIQUES SYLVAIN DURAND INC.",4460,"Rue Ouimet","J1L 2G9","819 822-2096","Entrepreneur En Travaux D'Electricite"
"LES JARDINS CORYLUS INC.",386,"Rue de Vimy","J1J 3M9","819 562-2172","Services D'Amenagement Paysager"
"LES JARDINS ÉCOART",1825,"Rue de Toulouse","J1J 3V6","819 432-2800","Services D'Amenagement Paysager"
"LES LIQUIDATIONS STÉBENNE",6853,"Boulevard Bourque","J1N 3K4","819 864-1777","Magasins De Tous Les Autres Accessoires De La Maison"
"LES LOISIRS DE NOTRE-DAME-DES-MÈRES INC.",731,"Chemin de Notre-Dame-des-Mères","J1C 0A7","","Organisme D'Action Sociale"
"LES MAGASINS VAPORUS INC.",2584,"Rue King Ouest","J1H 2H1","819 987-1003","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"LES MATÉRIAUX INTERSTAR INC.",4255,"Boulevard de Portland","J1L 3A5","819 563-9975","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LES MATÉRIAUX PLM",1178,"Rue Maurice-Duplessis","J1K 2G6","819 563-8728","Grossistes-Distributeurs D'Autres Fournitures Speciales De Construction"
"LES MISSIONNAIRES DE MARIANNHILL",2075,"Chemin de Sainte-Catherine","J1N 2X3","819 562-4676","Organismes Religieux"
"LES MONTEURS D’ACIER, 9130 3123 QUÉBEC INC.",371,"Rue Corbeil","J1G 3H3","819 562-8347","Toutes Les Autres Activites Diverses De Fabrication"
"LES ORTHODONTISTES LEMAY",91,"Rue Peel","J1H 4J9","819 822-4434","Cabinets De Tous Les Autres Praticiens"
"LES PÂTISSERIES 300",1338,"Rue King Ouest","J1J 2B6","819 678-0300","Boulangeries-Patisseries"
"LES PAVAGES LAVALLÉE & LEBLANC INC.",6674,"Chemin de Saint-Élie","J1R 0P6","819 566-2266","Tous Les Autres Entrepreneurs Specialises"
"LES PEINTURES DE ARMOND",800,"Rue du Conseil","J1G 1L2","819 569-7095","Peinture, Papiers Peints Decoration"
"LES PETITES DOUCEURS",87,"Rue Roger-Boisvert","J1G 4K9",NA,"Services De Garderie"
"LES PETITES FOURMIS",2205,"Rue Brûlotte","J1E 4H6",NA,"Services De Garderie"
"LES PETITES SŒURS DE LA SAINTE-FAMILLE ET CENTRE MARIE-LÉONIE PARADIS",1820,"Rue Galt Ouest","J1K 1H8","819 823-0345","Organismes Religieux"
"LES PETITES SŒURS DE SAINTE-FAMILLE",1900,"Rue Galt Ouest","J1K 1H9","819 823-0345","Organismes Religieux"
"LES PETITS TRÉSORS DE SHERBROOKE INC.",2658,"Rue Galt Ouest","J1K 2X2","819 870-3636","Services De Garderie"
"LES PIERRES D'AMÉRIQUE",6346,"Boulevard Bourque","J1N 1H3","819 612-2354","Marchands D'Autres Materiaux De Construction"
"LES PLANCHERS DE ROCK FOREST INC.",509,"Rue du Val-des-Arbres","J1R 0B1","819 348-9230","Tous Les Autres Entrepreneurs Specialises"
"LES PLANCHES DE GYPSE DE L'ESTRIE",23,"Rue des Perles","J1R 0L6","819 565-9076","Construction Residentielle"
"LES PLATS DE CHARLOTTE",1103,"Rue du Conseil","J1G 1M4","819 349-0738","Traiteurs"
"LES PNEUS DEAUVILLE",7600,"Boulevard Bourque","J1N 3K1","819 864-1972","Marchands De Pneus"
"LES PRODUCTIONS ROLLY",575,"Rue de l'Union","J1H 2X5","819 821-3937","Exploitants De Theatres Et Autres Diffuseurs D'Evenementsartistiques Avec Installations"
"LES PRODUCTIONS TRACES ET SOUVENANCES",250,"Rue du Dépôt","J1H 5G1","819 345-9979","Compagnies De Theatre, Sauf Les Compagnies De Comedie Musicale"
"LES PRODUITS MARC BEAUDOIN INC. (NAPA PIÈCES D'AUTO)",191,"Rue Joseph-Robertson","J1L 2W7","819 563-0715","Grossistes-Distributeurs De Tous Les Autres Machines, Materiel Et Fournitures"
"LES PRODUITS MARTECH",6370,"Chemin de Saint-Élie","J1R 0P6","819 565-0770","Atelier D'Usinage"
"LES PRODUITS THERMO-CONCEPTS INC.",4345,"Rue Robitaille","J1L 2K2","819 822-1333","Toutes Les Autres Activites Diverses De Fabrication"
"LES PROMENADES DE L’ESTRIE",155,"Chemin Godin","J1R 0S6","819 342-0183","Reparations Generales De Vehicules Automobiles"
"LES PROS DU CÈDRE",1282,"Rue Grégoire","J1N 1S7","819 820-5182","Services D'Amenagement Paysager"
"LES PTIS COSSINS",50,"Rue Alexandre","J1H 4S6","873 200-6402","Magasins De Tous Les Autres Accessoires De La Maison"
"LES RÉSIDENCES DU CARREFOUR",2835,"Rue du Manoir","J1L 2E5","819 564-4408","Etablissements Communautaires De Soins Pour Personnes Agees"
"LES RÉSIDENCES DU ROY",1016,"Rue Galt Ouest","J1H 1Z8","819 346-2136","Etablissements Communautaires De Soins Pour Personnes Agees"
"LES RÉSIDENCES MONCHÉNOU (MAISON MARIE MOISAN)",1265,"Rue d'Alsace","J1C 0T6","819 276-0670","Centres De Soins Ambulatoires Pour Personnes Atteintes De Troubles Mentaux, D'Alcoolisme Et De Toxicomanie"
"LES RÉSIDENCES MONCHÉNOU (MAISON MONCHENOU)",2305,"Rue Denault","J1K 1H6","819 276-0670","Organisme D'Action Sociale"
"LES RÉSIDENCES SOLEIL (MANOIR DU MUSÉE)",245,"Rue Frontenac","J1H 1K1","819 822-1938","Etablissements Communautaires De Soins Pour Personnes Agees"
"LES RÉSIDENCES SOLEIL (MANOIR SHERBROOKE)",1150,"Rue des Quatre-Saisons","J1E 3X3","819 822-1038","Etablissements Communautaires De Soins Pour Personnes Agees"
"LES RÉSIDENCES VU",111,"Rue Bellevue","J1J 0A9","819 200-2658","Etablissements Communautaires De Soins Pour Personnes Agees"
"LES RÔTISSERIES ST-HUBERT (RUE KING O)",3070,"Rue King Ouest","J1L 1C9","819 563-5111","Restaurants A Service Complet"
"LES RÔTISSERIES ST-HUBERT EXPRESS (RUE KING E)",1818,"Rue King Est","J1G 5G6","819 563-5111","Etablissements De Restauration A Service Restreint"
"LES SENTIERS DE L'ESTRIE INC.",5182,"Boulevard Bourque","J1N 1H4","819 864-6314","Organisations Civiques Et Amicales"
"LES SERVICES CELLBOX",3050,"Boulevard de Portland","J1L 1R8","819 566-0001","Tous Les Autres Magasins De Detail Divers, Sauf Les Magasins De Materiel Pour La Fabrication De La Biere Et Du Vin"
"LES SERVICES ÉLECTRO-TECHNO INC.",2055,"Rue Roy","J1K 1B8","819 566-5151","Reparation Et Entretien De Materiel Electronique Et De Precision"
"LES SERVICES FINANCIERS BUSQUE & GAUDREAU INC.",1650,"Rue King Ouest","J1J 2C3","819 348-0150","Services De Conseil En Placement"
"LES SERVICES FINANCIERS DE L'ESTRIE",767,"Rue Paul-Desruisseaux","J1J 4L9","819 564-1204","Services De Conseil En Placement"
"LES SERVICES GEST-IMMO",20,"Rue Wellington Sud","J1H 5C7","873 200-8100","Bureaux D'Agents Et De Courtiers Immobiliers"
"LES SOEURS SERVANTE  DU ST-SACREMENT - CHAPELLE D’ADORATION",580,"Rue Dufferin","J1H 4N1","819 562-0626","Organismes Religieux"
"LES SOINS CORPORELS ANNE GRÉGOIRE",3140,"Rue des Jades","J1G 5L1","819 348-2881","Autres Services De Soins Personnels"
"LES SPÉCIALISTES DE L'ÉLECTROMÉNAGER (ENTREPÔT)",970,"Rue Longpré","J1G 5B9","819 563-0563","Entreposage General"
"LES SPÉCIALISTES DE L'ÉLECTROMENAGER (RUE DES ÉRABLES)",316,"Rue des Érables","J1L 2A9","819 563-0563","Magasins D'Appareils Menagers, De Televiseurs Et D'Autres Appareils Electroniques"
"LES STRUCTURE SP",1422,"Rue Le Ber","J1G 2Y5","819 829-2537","Toutes Les Autres Activites Diverses De Fabrication"
"LES SYSTÈMES TELESECURE INC.",4400,"Rue Ouimet","J1L 2A8","819 563-3333","Services De Systemes De Securite, Sauf Les Serruriers"
"LES TOILES JMB",6627,"Boulevard Bourque","J1N 3K3","819 864-4012","Toutes Les Autres Activites Diverses De Fabrication"
"LES TRAITEMENTS BIOBAC INC.",17,"Rue des Perles","J1R 0L1","819 564-8911","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"LES TROUVAILLES DE LISANNA ENR.",610,"Boulevard Lavigerie","J1G 2X1","819 346-5222","Magasins De Marchandises D'Occasion"
"LES ZERBES FOLLES",261,"Rue Alexandre","J1H 4S8","819 588-0505","Tous Les Autres Magasins D'Alimentation Specialisee"
"LESSARDL'HÉRAULT BLANCHARD ARPENTEUR-GÉOMÈTRE",775,"Rue Paul-Desruisseaux","J1J 4L9","819 564-3013","Services D'Arpentage Et De Cartographie, Sauf Les Leves Geophysiques"
"LETTRAGE ET DESIGN STICKER MANIA",150,"Rue Alexandre","J1H 4S7","819 437-0736","Tous Les Autres Services Lies A La Publicite"
"LETTRAGE FOURNIER INC.",2090,"Rue King Est","J1G 5G6","819 346-3363","Tous Les Autres Services Lies A La Publicite"
"LETTRAGE GP",3463,"Boulevard Industriel","J1L 1X7","819-564-1727","Publicite Et Affichage"
