NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
GAS PEDALS,TATTOO PARLOUR HBB MAJOR,850,850 - Beauty Parlour and/or Aesthetic Services,11022,,4064539,1559 K.L.O. RD
KASIA RACHFALL,"LIFE COACHING, INTUITIVE SERVICES - HBB MINOR",2550,2550 - Health Services,11024,,4084125,1336 ALDER CRT
1165828 BC LTD.,MOVING COMPANY - HBB MINOR,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",11031,,4085587,1260 GLENMORE DR
MAVERIX TRADING CORP,E-COMMERCE TRADING CORP - HBB MINOR,3300,3300 - Mail Order or Outside Merchant Sales,11037,,4085305,1240 GLENMORE DR
ORGANIC TAN KELOWNA,SPRAY TANNING STUDIO,850,850 - Beauty Parlour and/or Aesthetic Services,11038,,4080744,135-1295 CANNERY LANE
LAKEHOUSE HOME STORE - CANNERY LANE,FURNITURE AND HOME DECOR RETAIL,7205,7205 - Retail,11038,,4082492,1264 ELLIS ST
THE LIONS CYCLERY,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11038,,4075956,1276 ELLIS ST
STEVE AUSTIN FINE ART PHOTOGRAPHY,PHOTOGRAPHY GALLERY & PHOTO SERVICES,8062,"8062 - Photography, Audio and/or Video Engineering or Production",11038,,4084212,1296 ELLIS ST
MAN + WOMAN,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11038,,4085778,135-1295 CANNERY LANE
BOS BEAUTY INK,COSMETIC TATTOOING,850,850 - Beauty Parlour and/or Aesthetic Services,11038,,4084520,135-1295 CANNERY LANE
ONCE UPON A LASH EKM,LASH EXTENSIONS,2400,2400 - Hairstylist or Barber,11038,,4079428,135-1295 CANNERY LANE
APLIN MARTIN CONSULTANTS LTD,ENGINEER,5099,5099 - Professional Services,11038,,4069391,1258 ELLIS ST
KELOWNA PRECIOUS METALS COINS CURRENCY & COLLECTABLES,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11038,,4060474,1272 ELLIS ST
THE KELOWNA CANDLE FACTORY,SALESPERSON - BEES WAX CANDLES,7350,7350 - Salesperson,11038,,4066187,1278 ELLIS ST
SPROUT BREAD,ARTISAN BAKERY & CAFE,7102,7102 - Restaurant,11038,,4081398,125-1295 CANNERY LANE
OKANAGAN LIFESTYLE APPAREL INC.,RETAIL - CLOTHING,7205,7205 - Retail,11038,,4083071,110-1295 CANNERY LANE
CRASIAN FOODS CORP. DBA BOXCAR KITCHEN,FOOD SERVICE,7100,7100 - Restaurant - Catering or Meal Prep,11038,,4084315,1254 ELLIS ST
HAMBLETON GALLERIES,RETAIL   1 - 278 SQ. METRES- ART GALLERY,7205,7205 - Retail,11038,,4079894,1290 ELLIS ST
PLAYERS CHOICE SPORTSCARDS AND COLLECTIBLES,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11038,,4062457,470 CAWSTON AVE
CHICKO CHICKEN,RESTAURANT JAPANESE (BEER & WINE ONLY),3220,3220 - Liquor Primary Establishment (with a floor area over 140 sq. metres),11038,,4073084,1298 ELLIS ST
HA.YEA.SUNG INVESTMENT INC. O/A J'S CAFE,Cafe,7102,7102 - Restaurant,11038,,4087905,1282 ELLIS ST
BNA BREWING,CLASS B - DINING LOUNGE (OVER 140 SQ M),3220,3220 - Liquor Primary Establishment (with a floor area over 140 sq. metres),11038,,4075915,1250 ELLIS ST
0832758 BC LTD,"Landscaping, excavation, rock walls, etc.",8042,8042 - Landscaping/Garden  (Service Only),11038,,4087714,1250 ELLIS ST
CASCADE MOBILE PRESSURE WASHING,OTHER CONTRACTORS - PRESSURE WASHING/LABOURER - HBB MINOR,1566,1566 - Contractors,11048,,4070959,1058 ALDON RD
"SANDHU, JASMINDER SINGH & SANDHU, SUKHJINDER SANDU",ROOT TREE GRAFTING - HBB MINOR,1566,1566 - Contractors,11066,,4076495,2568 K.L.O. RD
CLARISSA MANOR,APARTMENT (4 SUITES),7310,7310 - Apartment,11067,,4001902,295 CLARISSA RD
"DUVAL, PENELOPE & DUVAL, ROBERT",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,11073,,4085839,3927 BLUEBIRD RD
APEX LANDSCAPING LTD.,LANDSCAPING COMPANY (HBB-MINOR),1566,1566 - Contractors,11079,,4084461,1611 ELM ST E
LAKEFRONT CONSULTING,TELECOMMUNICATION / IT PROFESSIONAL CONSULTING SERVICES - HBB MINOR,3340,"3340 - Management, Administration & Consultants",11090,,4085829,300 RIALTO DR
AKT 1 PLUMBING AND HEATING,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,11098,,4070512,706 GLENMORE DR
THE STUDIO,"HAIRSTYLIST, BARBER/BEAUTY PARLOUR (HBB MAJOR)",2400,2400 - Hairstylist or Barber,11104,,4083132,1611 SONORA DR
SMALLPRINT OKANAGAN,HOME HANDICRAFT/JEWELLERY - SELF EMPLOYED - HBB MINOR,8032,8032 - Art and Home Handicrafts,11105,,4079240,1658 SONORA DR
JAY WIENS FLOORS,FLOORING CONTRACTOR,1566,1566 - Contractors,11118,,4084356,137 SNOWSELL ST
AVONLEA CARE CENTRE LTD,GROUP HOME/SPECIALIZED CARE HOME,7325,"7325 - Rooming House, Private Nursing/Rest Home",11148,,4036759,1658 BLONDEAUX CRES
FRESCO HEALTH INTERNATIONAL INC,PACKAGING AND DISTRIBUTION OF HAIR CARE PRODUCTS - HBB MAJOR,3300,3300 - Mail Order or Outside Merchant Sales,11159,,4073194,661 GLENWOOD AVE
BARTLETT TREE EXPERTS,RESIDENTIAL AND COMMERCIAL TREE SERVICES,1566,1566 - Contractors,11161,,4078736,991 ELLIS ST
1237493 BC LTD DBA UKT CONTRACTING,Contractor - construction,1566,1566 - Contractors,11167,,4086808,1069 CLEMENT AVE
J N B HOMECARE SERVICES LTD,GROUP HOME MINOR,7325,"7325 - Rooming House, Private Nursing/Rest Home",11169,,4081170,1059 CLEMENT AVE
J N B HOMECARE SERVICES LTD,Home Health Care,2550,2550 - Health Services,11169,,4088238,1059 CLEMENT AVE
GLENMORE GARDEN MARKET,PRODUCE STAND (SALE OF PRODUCE GROWN ON SITE),2200,2200 - Farm Retail Sales,11176,,4057688,621 GLENMORE RD N
WATCHMAN SERVICES INC.,Online Retail Sales,3300,3300 - Mail Order or Outside Merchant Sales,11207,,4075526,480 CLIFTON RD
GOOD MORNING FLOORING INC,FLOORING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,11247,,4073126,1340 GLENMORE DR
OPHA ENTERPRISES LTD,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,11273,,4069958,467 FLEMING RD
SANDER D ELECTRIC,CONTRACTOR - ELECTRICAL,1566,1566 - Contractors,11277,,4014279,621 ELLIOT AVE
GREAT WEST MONUMENTS (1999) LTD,HOME OCCUPATION - RURAL - MONUMENTAL WORKS,8056,8056 - Monuments And Memorials,11280,,4035891,2020 K.L.O. RD
BETTER EARTH GARDENS & TROPICALS,GARDEN CENTRE,8040,8040 - Landscaping/Garden  (Incl. Sale Shrubs),11285,,4078679,1629 K.L.O. RD
BL BARSKI CONSTRUCTION LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,11294,,4060629,682 ELM RD
THE SOCIETY OF HOPE,TOWNHOUSES - NON-PROFIT SOCIETY,7320,7320 - Apartment - operated by non-profit society,11301,,4034161,333 WHITMAN RD
CURIOUS UNIVERSE,HBB MINOR - COACHING/EMPOWERMENT/WELLNESS,2550,2550 - Health Services,11301,,4075831,13-333 WHITMAN RD
CARRIE'D AWAY,HOME HANDICRAFT - HBB MINOR,8032,8032 - Art and Home Handicrafts,11313,,4086222,1612 BLONDEAUX CRES
LAARZ CONTRACTING,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,11326,,4079740,638 SNOWSELL ST N
GEOFF WHITE LAW CORPORATION,HOME OCCUPATION - MAJOR - BARRISTER & SOLICITOR,5099,5099 - Professional Services,11334,,4034525,434 GLENWOOD AVE
"HAYES, PARKER C",Landscaping,8040,8040 - Landscaping/Garden  (Incl. Sale Shrubs),11340,,4087864,3074 GLENMORE RD N
SILVERSPAN TRAMS INC,ENGINEER,5099,5099 - Professional Services,11341,,4067653,3112 GLENMORE RD N
SUSTAINABLE PASSION,"Zero Waste Store, Spiritual Readings and Events",3300,3300 - Mail Order or Outside Merchant Sales,11353,,4087141,1272 ALDON RD
PERFECTLY POLISHED,"PRIVATE MUSIC, DANCING, HAIRDRESS & OTHER RELATED ACTIVITIES.",8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",11356,,4065815,1310 ALDON RD
BIRTHDAYLACTATIONCONSULTATION,"Pregnancy, Birth and Lactation Consulting",2550,2550 - Health Services,11381,,4088558,1704 SMITHSON DR
"DEWHURST, CHRISTINE",Short Term Rental,7316,7316 - Short-Term Rental - Principal Residence,11382,,4086702,1778 SMITHSON DR
SHAPER'S SALON & SPA,HAIR SALON & SPA - HBB MAJOR,2400,2400 - Hairstylist or Barber,11382,,4070932,1778 SMITHSON DR
GREEN DYNAMICS LANDSCAPE & MAINTENANCE,LANDSCAPING/GARDEN  (SERV ONLY) HBB MINOR,8042,8042 - Landscaping/Garden  (Service Only),11384,,4085645,1744 SMITHSON DR
ECO SAFE WASH,HANDYMAN/MAINTENANCE SERVICE (HBB MINOR),1566,1566 - Contractors,11390,,4080152,1896 AMBROSI RD
TOM MAH SCHOOL OF KARATE,KARATE SCHOOL,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",11391,,4066861,1894 AMBROSI RD
BIG WHITE SKI RESORT LTD,INFORMATION OFFICE,3340,"3340 - Management, Administration & Consultants",11391,,4066859,1894 AMBROSI RD
WESTERN HUMAN RESOURCE CORP,Community Living / Group Home,7325,"7325 - Rooming House, Private Nursing/Rest Home",11396,,4087510,1615 SMITHSON PL
SHOW HOME CLEANING & MAINTENANCE,HBB MINOR - CLEANING SERVICE/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,11399,,4075662,1695 SMITHSON PL
BITMOTEK OPTIMIZATION LTD.,COMPUTER PROGRAMMING AND SOFTWARE DEV,2650,2650 - Information Technology,11401,,4086086,1620 SMITHSON PL
PNEUMA MASSAGE THERAPY,REGISTERED MASSAGE THERAPY CLINIC - HBB MAJOR,5099,5099 - Professional Services,11406,,4085436,1640 SMITHSON PL
DIVING DYNAMICS,CAREER TRAINING & COMMERCIAL DIVING SERVICES,7205,7205 - Retail,11412,,4014374,1884 AMBROSI RD
ILS HOMES INC,BUILDING CONTRACTOR - HBB MINOR,1566,1566 - Contractors,11423,,4066566,2266 OMINECA PL
STUDIO C2C,ARTIST - HBB MINOR,8032,8032 - Art and Home Handicrafts,11423,,4079654,2266 OMINECA PL
HELM DESIGN CO.,INTERIOR DESIGNER - HBB MINOR,1566,1566 - Contractors,11425,,4083041,2195 OMINECA PL
DS CONSULTING LTD.,ACCOUNTING AND BUSINESS CONSULTING SERVICES - HBB MINOR,3340,"3340 - Management, Administration & Consultants",11428,,4082259,2243 OMINECA PL
CRANKY'S BIKE SHOP,BICYCLE REPAIRS AND MAINTENANCE - HBB MINOR,8052,8052 - Machine & Equipment Sales/Service,11440,,4086025,2224 OMINECA PL
BC AIR & POWER,SALESPERSON - ELECTRONICS,7350,7350 - Salesperson,11442,,4032745,2254 OMINECA PL
THE KINESIOLOGY PRESCRIPTION,Kinesiologist and Personal Trainer working 1:1 with clients in home-gym and their homes,2550,2550 - Health Services,11446,,4087211,2261 OMINECA PL
MEDPRO RESPIRATORY CARE,RESPIRTORY SERVICES,5099,5099 - Professional Services,11449,,4063258,104-1924 AMBROSI RD
SHAWANDA ROCKS CRYSTAL & GEMS HOLISTIC WELLNESS CENTER,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11449,,4071756,101-1924 AMBROSI RD
KELOWNA ACUPUNCTURE & HERBAL CENTER LTD,ACUPUNCTURE/HERBAL MEDICINE & ACUPRESSURE,5099,5099 - Professional Services,11449,,4035550,103-1924 AMBROSI RD
GOTRO & SONS,Landscape & Yard Maintenance,8042,8042 - Landscaping/Garden  (Service Only),11454,,4087973,1751 SMITHSON DR
KELOWNA PLUMBING SOLUTIONS,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,11455,,4068121,1743 SMITHSON DR
BCROCKS.COM LTD,EXCAVATING/BULLDOZING CONTRACTOR,1566,1566 - Contractors,11466,,4059040,344 LOYD RD
KELOWNA CHRYSLER DODGE JEEP LTD,AUTOMOBILE DEALER - NEW & USED,400,"400 - Auto Dealer - New, Secondhand, Used",11469,,4005059,2440 ENTERPRISE WAY
WOLVERINE INDUSTRIES,BUILDING CONTRACTOR,1566,1566 - Contractors,11470,,4066657,2093 INKAR RD
ROAM OKANAGAN VACATION RENTALS,Airbnb Design & Hosting Company,3350,3350 - Management Company - Property,11470,,4087789,2093 INKAR RD
"THOMAS, KIMBERLY A",Short Term Rental,7316,7316 - Short-Term Rental - Principal Residence,11470,,4086535,2093 INKAR RD
CANADIAN SPRINGS WATER COMPANY,WAREHOUSE (5000 SQ FT),7850,7850 - Warehousing,11471,,4024412,2490 ENTERPRISE WAY
KELOWNA GLASS,WINDSHIELD REPAIR (INCLUDING MOBILE),300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",11471,,4036755,2492 ENTERPRISE WAY
TOPS AUTO REPAIR,GARAGE (REPAIR),2204,2204 - Garage (Repair),11471,,4066197,2494 ENTERPRISE WAY
BEET'N BOO'S BISTRO AND CATERING INC,CLASS B - DINING LOUNGE (LESS 140 SQ M),3215,3215 - Liquor Primary Establishment (with a floor area of 140 sq. metres or less),11471,,4074264,A-2496 ENTERPRISE WAY
DILWORTH INN,MOTEL,7306,"7306 - Hotel, Motel, Auto Court - Units Only",11472,,4018559,1755 DILWORTH DR
BIRD ELECTRICAL SOLUTIONS LTD,Electrical Contractor,1566,1566 - Contractors,11473,,4088466,820 KNORR RD
SHOREBOARD,"Boat and adventure rentals. Paddleboards, canoes, kayaks, etcs",8006,8006 - Boat Rental/Mooring,11476,,4088166,30-1471 INKAR RD
OKANAGAN POLE DANCE,HBB MINOR - DANCE INSTRUCTOR,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",11476,,4073323,29-1471 INKAR RD
LAURIE BROWN,CLOTHING MANUFACTURER,8032,8032 - Art and Home Handicrafts,11481,,4084239,2-1481 INKAR RD
TRI STAR TOURS INC,TOUR AGENTS,8088,8088 - Travel Service/Tour Agent,11498,,4014929,4585 ANHALT RD
U-HAUL CANADA LTD,CAR/TRUCK/REC VEH RENTAL/LEASING,8012,8012 - Car/Truck/Rec Veh Rental/Leasing,11510,,4079451,2076 ENTERPRISE WAY
BARMAC COATINGS INC,MANUFACTURER  (1-464 SQ METRES) PAINT DRY COATING,3405,3405 - Manufacturer,11510,,4063990,100-2076 ENTERPRISE WAY
STACY HADDEN & ASSOCIATES FINANCIAL SOLUTIONS INC,"TRUST, INVEST., LOAN/MORTGAGE CO  (1-2)",7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,11522,,4084197,2009 ENTERPRISE WAY
"COULT, KYLA",Nail Salon,850,850 - Beauty Parlour and/or Aesthetic Services,11522,,4088663,J-2009 ENTERPRISE WAY
TAN ON STUDIOS,RETAIL & TANNING SALON,7205,7205 - Retail,11522,,4078527,J-2009 ENTERPRISE WAY
ELLE ARTISTRY,AESTHETICS,850,850 - Beauty Parlour and/or Aesthetic Services,11522,,4085410,J-2009 ENTERPRISE WAY
SUN ASIAN MARKET,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,11522,,4075839,H-2009 ENTERPRISE WAY
STROMA SIGN GROUP INC,MANUFACTURING - SIGNS,3405,3405 - Manufacturer,11522,,4075977,B-2009 ENTERPRISE WAY
MARIE MARTIN COACHING,COACHING AND COUNSELLING,2550,2550 - Health Services,11522,,4084137,E-2009 ENTERPRISE WAY
CORE LEVEL HEALING COUNSELLING AND PSYCHOTHERAPY,OTHERS,5099,5099 - Professional Services,11522,,4080047,E-2009 ENTERPRISE WAY
A TOUCH OF GLAMOUR,BEAUTY PARLOUR AND/OR AESTHETIC SERVICES,850,850 - Beauty Parlour and/or Aesthetic Services,11522,,4084096,E-2009 ENTERPRISE WAY
STEPPING STONES HOMEOPATHY,ALTERNATIVE HOLISTIC HEALING /MEDICINE,2550,2550 - Health Services,11522,,4084132,E-2009 ENTERPRISE WAY
OUTSIDEIN SELFCARE STUDIO,LASH EXTENSIONS,2400,2400 - Hairstylist or Barber,11522,,4081807,E-2009 ENTERPRISE WAY
CONSCIOUS HARMONICS,CLINICAL HYPNOTHERAPY,2550,2550 - Health Services,11522,,4085722,E-2009 ENTERPRISE WAY
JAMIE MEN'S HAIRSTYLIST,"HAIRSTYLIST, BARBER",2400,2400 - Hairstylist or Barber,11522,,4078144,G-2009 ENTERPRISE WAY
VEGILANTE PLANT BASED FOODS,FOOD MANUFACTURING - FERMENTED BEANS,3405,3405 - Manufacturer,11522,,4081121,C-2009 ENTERPRISE WAY
PLANTY OF NOSH CATERING,PLANT BASED CATERING COMPANY,7102,7102 - Restaurant,11522,,4085008,C-2009 ENTERPRISE WAY
ATOMIC TECHNOLOGY DBA ATOMIC VAPOR,RETAIL OF ELECTRONICS,7205,7205 - Retail,11522,,4075630,D-2009 ENTERPRISE WAY
DIVINE MASSAGE THERAPY,HEALTH & WELLNESS SERVICES,2550,2550 - Health Services,11522,,4084129,E-2009 ENTERPRISE WAY
ODETTE'S SKIN LASER WELLNESS CLINIC,GENERAL CONTRACTORS,1566,1566 - Contractors,11522,,4084233,E-2009 ENTERPRISE WAY
MEALS ON WHEELS & DINNERS AT HOME,PRIVATE CLUB/NON PROFIT/FROZEN MEALS,7100,7100 - Restaurant - Catering or Meal Prep,11522,,4037464,A-2009 ENTERPRISE WAY
ENTERPRISE FLOWER STUDIO,RETAIL - FLOWERS,7205,7205 - Retail,11522,,4058008,A-2009 ENTERPRISE WAY
HAIR BY ANA CO,HAIRSTYLIST,2400,2400 - Hairstylist or Barber,11522,,4078129,G-2009 ENTERPRISE WAY
KELOWNA MASSAGES,MASSAGIST,5099,5099 - Professional Services,11522,,4080531,G-2009 ENTERPRISE WAY
BEAUTIFUL BRIGHT SMILE KELOWNA,TEETH WHITENING,850,850 - Beauty Parlour and/or Aesthetic Services,11522,,4085732,G-2009 ENTERPRISE WAY
BLONDE AND BALAYAGE HAIR STUDIO,HAIR SALON,2400,2400 - Hairstylist or Barber,11522,,4082548,G-2009 ENTERPRISE WAY
L&L PROPERTY MANAGEMENT LTD,Property Management LTD,3350,3350 - Management Company - Property,11572,,4089359,2808 GOSNELL RD
THE LOKEL COMPANY,HOME HANDICRAFT - SOAPS AND BATH BOMES,8032,8032 - Art and Home Handicrafts,11621,,4084294,870 JONES ST
BAR NONE EVENTS,EVENT PLANNING - HBB MINOR,3340,"3340 - Management, Administration & Consultants",11637,,4083169,1066 CORONATION AVE
ARCTIC DATA CORPORATION,MANUFACTURER - COMPUTER SOFTWARE (INCL SALES),3405,3405 - Manufacturer,11640,,4014619,201-1974 MOSS CRT
DOMAIN INTERNET LTD,INTERNET SERVICE,2650,2650 - Information Technology,11640,,4032090,201-1974 MOSS CRT
RUSTIC CHALK DECOR,SIGN PAINTING & DESIGN CLASSES,1650,1650 - Creative or Performing Arts,11640,,4079811,102-1974 MOSS CRT
UVWISE.CA HOLDINGS INC.,Online Clothing Sales,3300,3300 - Mail Order or Outside Merchant Sales,11640,,4089177,101-1974 MOSS CRT
VFX LEGION STUDIOS ULC,VIDEO POST PRODUCTION,8062,"8062 - Photography, Audio and/or Video Engineering or Production",11640,,4086031,200-1974 MOSS CRT
REPAIRMEDIC APPLIANCE STORE,Appliance Service & Sales,8074,8074 - Service & Maintenance of Large Appliances,11640,,4087431,100-1974 MOSS CRT
INTERIOR TESTING SERVICES LTD,SOIL TESTING SERVICE,1566,1566 - Contractors,11643,,4003251,1-1965 MOSS CRT
DAVECO,JANITORIAL SERVICE (3 PEOPLE OR LESS EMPLOYED),8036,8036 - Janitor And/Or Window Cleaning,11647,,4029279,3067 LOWE CRT
NATIONAL COMPUTER RESOURCE,COMPUTER SALES AND MAINTENANCE,7205,7205 - Retail,11661,,4070796,102-1980 COOPER RD
CITY BEAUTIFUL NAILS ART AND SPA LTD.,NAIL SALON,850,850 - Beauty Parlour and/or Aesthetic Services,11661,,4085937,104-1980 COOPER RD
ANGELINA'S NAIL SPA & MASSAGE LTD,NAILS AND SPA,2400,2400 - Hairstylist or Barber,11661,,4075879,104-1980 COOPER RD
THREEPOINT CAPITAL CORP.,"TRUST, INVEST., LOAN/MORTGAGE  (6-10)",7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,11661,,4037136,210-1980 COOPER RD
ORCHARD CHIROPRACTIC & WELLNESS,CHIROPRACTOR,5099,5099 - Professional Services,11661,,4066322,212-1980 COOPER RD
AQUA FRIENDS POOL & SPA,RETAIL  - HOT TUBS & SERVICE,7205,7205 - Retail,11661,,4074691,103-1990 COOPER RD
DR. DOUGLAS LOBAY,PROFESSIONAL - NATUROPATH/CHELATION,5099,5099 - Professional Services,11661,,4024076,103B-1980 COOPER RD
WINE KITZ KELOWNA,WINE STORE - BREWING ON PREMISES,7205,7205 - Retail,11661,,4077596,101-1980 COOPER RD
SNEAK A PEEK ULTRASOUND INC,RETAIL -  PHOTOS,7205,7205 - Retail,11661,,4063932,103-1980 COOPER RD
ECO-CLEAN DRY CLEANING CENTRES,DRY CLEANING,8026,8026 - Dry Cleaning,11661,,4073115,105-1980 COOPER RD
SAGE EXEC - LETNICK ESTATES,Real Estate,7005,7005 - Real Estate/Land Agent,11661,,4087537,108-1980 COOPER RD
SAGE EXECUTIVE GROUP REAL ESTATE,"REAL ESTATE, LAND/INSURANCE AGENT - OVER 20",7005,7005 - Real Estate/Land Agent,11661,,4063190,108-1980 COOPER RD
CRISTINA,ESTHETICIAN,2500,2500 - Hairstylist - Itinerant,11661,,4067675,107-1980 COOPER RD
THE SHERWIN-WILLIAMS COMPANY,RETAIL  - STORE #8878,7205,7205 - Retail,11661,,4076324,101-1990 COOPER RD
THE UNIFORM SHOP,RETAIL - UNIFORM SHOP,7205,7205 - Retail,11661,,4072117,109-1980 COOPER RD
HEATHER POLAK ESTHETICS INC.,ESTHETICS,2400,2400 - Hairstylist or Barber,11661,,4071404,110-1980 COOPER RD
RANDALL J NAITO INC & A G SAMBRIELAZ INC,CHARTERED ACCOUNTANT,5099,5099 - Professional Services,11661,,4027271,202-1980 COOPER RD
DOUGLAS M FRANKS NOTARY PUBLIC,NOTARY PUBLIC,5099,5099 - Professional Services,11661,,4023726,203-1980 COOPER RD
CLAUDE P BERNARD INC,ACCOUNTANTS,5099,5099 - Professional Services,11661,,4075354,206-1980 COOPER RD
DR. VIKAS RAJ DENTAL CORPORATION,DENTAL OFFICE,5099,5099 - Professional Services,11661,,4084563,211-1980 COOPER RD
D THODE & ASSOCIATES INC.,LICENSED INSOLVENCY TRUSTEE,5099,5099 - Professional Services,11661,,4059228,220-1980 COOPER RD
ORCHARD MEDICAL CENTRE,WALK-IN CLINIC - PROFESSIONS/GENERAL PRACTITIONERS,5099,5099 - Professional Services,11661,,4009322,104-1990 COOPER RD
CALYPSO VENTURES INC DBA KELOWNA CRUISESHIPCENTRES,TRAVEL SERVICE/TOUR AGENT,8088,8088 - Travel Service/Tour Agent,11661,,4065056,106-1980 COOPER RD
PHASE IV WEIGHT LOSS LTD.,WELLNESS CLINIC,2550,2550 - Health Services,11661,,4072857,107-1980 COOPER RD
HSBC BANK OF CANADA,BANKER,805,805 - Bank / Credit Union,11662,,4002150,1950 COOPER RD
EXCEL METAL FAB (1993) LTD,MANUFACTURER,3405,3405 - Manufacturer,11669,,4023925,390 LOUGHEED RD
D&G MECHANICAL (1997) LTD,"CONTRACTOR - SHEET METAL, HEATING & AIR CONDITIONING",1566,1566 - Contractors,11670,,4017105,410 LOUGHEED RD
OKANAGAN CUSTOM MOTORCYCLES LTD,AUTOMOTIVE & MOTORCYCLE REPAIR,300,"300 - Automobile Body Repair and Paint Shop, detailing or car wash",11672,,4081007,386 LOUGHEED RD
KAYCAN ALUMINUM,WHOLESALE,7905,7905 - Wholesale,11677,,4011495,450 LOUGHEED RD
LITTLE GEMS DAYCARE,"DAY NURSERY,  (7 CHILDREN)",1902,1902 - Child Care Services,11679,,4067722,700 YOUNG RD
MCCABE CONSTRUCTION,Building Contractor,1566,1566 - Contractors,11680,,4088091,704 YOUNG RD
"PORTER, LESLIE",SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,11684,,4083140,4 MONTE RD
OKANAGAN GOLD BUYER'S,GOLD BUYER - HBB MINOR,2000,2000 - Second Hand/Junk Dealer,11688,,4085072,520 HOLLYWOOD RD N
NICKS CONTRACTING HBB MINOR,BUILDING CONTRACTOR,1566,1566 - Contractors,11688,,4083114,520 HOLLYWOOD RD N
"SIMEONIDIS, HRISOULA",Resale of Liquidated Stock,3300,3300 - Mail Order or Outside Merchant Sales,11688,,4089025,520 HOLLYWOOD RD N
EVERY LAST DETAIL CLEANING,Cleaning Services,8036,8036 - Janitor And/Or Window Cleaning,11692,,4086849,815 SOLLY CRT
PRO SET ENTERPRISES LTD.,"INTERIOR FINISHING, CUSTOM MILL-WORK, SMALL RENOS CONTRACTOR - HBB MINOR",1566,1566 - Contractors,11700,,4082151,1630 HOLLYWOOD RD S
SCOOTER'S ICE CREAM,MOBILE STORE,3500,3500 - Mobile Store or Vendor,11714,,4072160,3090 HOLLAND RD
FOOD & CO,CATERING - (FOOD PREP),7100,7100 - Restaurant - Catering or Meal Prep,11714,,4068040,3090 HOLLAND RD
AG TILE & DESIGN,TILE SETTER,1566,1566 - Contractors,11719,,4067973,3050 HOLLAND RD
SEED AND SPARROW DESIGN,LANDSCAPE DESIGN & CONSULTING - HBB MINOR,1566,1566 - Contractors,11753,,4081608,624 CORONATION AVE
BRIDGE ENERGY INC,Electrical contractor,1566,1566 - Contractors,11754,,4089031,618 CORONATION AVE
Q BALL PINSTRIPING,PAINTING & DECORATING CONTRACTOR,1566,1566 - Contractors,11759,,4082471,586 CORONATION AVE
PANDA MAID,JANITOR AND/OR WINDOW CLEANING/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,11759,,4083502,586 CORONATION AVE
DUQUETTE CONSULTING,BUSINESS CONSULTING,3340,"3340 - Management, Administration & Consultants",11762,,4086132,574 CORONATION AVE
JOHN PUSHOR & ALISON KYLE,SHORT-TERM RENTAL - PRINCIPAL RESIDENCE,7316,7316 - Short-Term Rental - Principal Residence,11770,,4083827,265 POPLAR POINT DR
ACI ALARM SERVICES,Sales & Installation of Security Systems,7420,7420 - Security Serv/Investigation/Collections,11773,,4088313,619 CORONATION AVE
STELLAR CLEAN CO.,CLEANING COMPANY - HBB MINOR,8036,8036 - Janitor And/Or Window Cleaning,11799,,4086161,795 ROWCLIFFE AVE
